,items,support,ordered_statistics
87,"frozenset({'eggs', 'red wine', 'nan', 'spaghetti'})",0.0037328356219170776,"[OrderedStatistic(items_base=frozenset({'eggs', 'red wine', 'nan'}), items_add=frozenset({'spaghetti'}), confidence=0.5283018867924528, lift=3.0342974370828397)]"
88,"frozenset({'nan', 'herb & pepper', 'french fries', 'ground beef'})",0.003199573390214638,"[OrderedStatistic(items_base=frozenset({'nan', 'french fries', 'ground beef'}), items_add=frozenset({'herb & pepper'}), confidence=0.23076923076923078, lift=4.665768194070081), OrderedStatistic(items_base=frozenset({'nan', 'herb & pepper', 'french fries'}), items_add=frozenset({'ground beef'}), confidence=0.46153846153846156, lift=4.697421981004071)]"
89,"frozenset({'milk', 'spaghetti', 'mineral water', 'frozen smoothie'})",0.003199573390214638,"[OrderedStatistic(items_base=frozenset({'spaghetti', 'mineral water', 'frozen smoothie'}), items_add=frozenset({'milk'}), confidence=0.4705882352941177, lift=3.631566206729606), OrderedStatistic(items_base=frozenset({'milk', 'spaghetti', 'mineral water'}), items_add=frozenset({'frozen smoothie'}), confidence=0.2033898305084746, lift=3.211846565566459)]"
90,"frozenset({'frozen vegetables', 'nan', 'tomatoes', 'green tea'})",0.003332888948140248,"[OrderedStatistic(items_base=frozenset({'frozen vegetables', 'nan', 'green tea'}), items_add=frozenset({'tomatoes'}), confidence=0.2314814814814815, lift=3.38468341635983)]"
91,"frozenset({'milk', 'frozen vegetables', 'mineral water', 'ground beef'})",0.0037328356219170776,"[OrderedStatistic(items_base=frozenset({'frozen vegetables', 'mineral water', 'ground beef'}), items_add=frozenset({'milk'}), confidence=0.40579710144927533, lift=3.1315679608755294), OrderedStatistic(items_base=frozenset({'milk', 'frozen vegetables', 'mineral water'}), items_add=frozenset({'ground beef'}), confidence=0.3373493975903614, lift=3.4334570302921317), OrderedStatistic(items_base=frozenset({'milk', 'mineral water', 'ground beef'}), items_add=frozenset({'frozen vegetables'}), confidence=0.3373493975903614, lift=3.539101861993428)]"
92,"frozenset({'milk', 'frozen vegetables', 'spaghetti', 'ground beef'})",0.0030662578322890282,"[OrderedStatistic(items_base=frozenset({'milk', 'frozen vegetables', 'ground beef'}), items_add=frozenset({'spaghetti'}), confidence=0.5348837209302326, lift=3.0721001460165964), OrderedStatistic(items_base=frozenset({'milk', 'frozen vegetables', 'spaghetti'}), items_add=frozenset({'ground beef'}), confidence=0.3709677419354839, lift=3.7756160546242397), OrderedStatistic(items_base=frozenset({'milk', 'spaghetti', 'ground beef'}), items_add=frozenset({'frozen vegetables'}), confidence=0.3150684931506849, lift=3.305354919053549)]"
93,"frozenset({'spaghetti', 'frozen vegetables', 'mineral water', 'ground beef'})",0.004399413411545127,"[OrderedStatistic(items_base=frozenset({'spaghetti', 'frozen vegetables', 'mineral water'}), items_add=frozenset({'ground beef'}), confidence=0.3666666666666667, lift=3.7318407960199007)]"
94,"frozenset({'spaghetti', 'frozen vegetables', 'nan', 'ground beef'})",0.008665511265164644,"[OrderedStatistic(items_base=frozenset({'spaghetti', 'frozen vegetables', 'nan'}), items_add=frozenset({'ground beef'}), confidence=0.31100478468899523, lift=3.165328208890303)]"
95,"frozenset({'milk', 'frozen vegetables', 'mineral water', 'olive oil'})",0.003332888948140248,"[OrderedStatistic(items_base=frozenset({'milk', 'frozen vegetables', 'mineral water'}), items_add=frozenset({'olive oil'}), confidence=0.30120481927710846, lift=4.573557387444516), OrderedStatistic(items_base=frozenset({'frozen vegetables', 'mineral water', 'olive oil'}), items_add=frozenset({'milk'}), confidence=0.5102040816326531, lift=3.937284790459394), OrderedStatistic(items_base=frozenset({'milk', 'olive oil', 'mineral water'}), items_add=frozenset({'frozen vegetables'}), confidence=0.39062500000000006, lift=4.098011363636364)]"
96,"frozenset({'milk', 'frozen vegetables', 'mineral water', 'soup'})",0.0030662578322890282,"[OrderedStatistic(items_base=frozenset({'milk', 'frozen vegetables', 'mineral water'}), items_add=frozenset({'soup'}), confidence=0.27710843373493976, lift=5.484407286136631), OrderedStatistic(items_base=frozenset({'milk', 'frozen vegetables', 'soup'}), items_add=frozenset({'mineral water'}), confidence=0.7666666666666666, lift=3.21631245339299), OrderedStatistic(items_base=frozenset({'frozen vegetables', 'mineral water', 'soup'}), items_add=frozenset({'milk'}), confidence=0.6052631578947368, lift=4.670863114576565), OrderedStatistic(items_base=frozenset({'milk', 'mineral water', 'soup'}), items_add=frozenset({'frozen vegetables'}), confidence=0.35937500000000006, lift=3.7701704545454553)]"
97,"frozenset({'milk', 'frozen vegetables', 'mineral water', 'spaghetti'})",0.004532728969470737,"[OrderedStatistic(items_base=frozenset({'milk', 'spaghetti', 'mineral water'}), items_add=frozenset({'frozen vegetables'}), confidence=0.28813559322033894, lift=3.0228043143297376)]"
98,"frozenset({'milk', 'frozen vegetables', 'nan', 'olive oil'})",0.004799360085321957,"[OrderedStatistic(items_base=frozenset({'milk', 'frozen vegetables', 'nan'}), items_add=frozenset({'olive oil'}), confidence=0.20338983050847456, lift=3.088314005352364), OrderedStatistic(items_base=frozenset({'frozen vegetables', 'nan', 'olive oil'}), items_add=frozenset({'milk'}), confidence=0.4235294117647058, lift=3.2684095860566447)]"
99,"frozenset({'milk', 'frozen vegetables', 'nan', 'soup'})",0.003999466737768298,"[OrderedStatistic(items_base=frozenset({'frozen vegetables', 'nan', 'soup'}), items_add=frozenset({'milk'}), confidence=0.5, lift=3.858539094650206)]"
100,"frozenset({'milk', 'frozen vegetables', 'nan', 'tomatoes'})",0.0041327822956939075,"[OrderedStatistic(items_base=frozenset({'milk', 'nan', 'tomatoes'}), items_add=frozenset({'frozen vegetables'}), confidence=0.29523809523809524, lift=3.0973160173160172)]"
101,"frozenset({'frozen vegetables', 'mineral water', 'shrimp', 'nan'})",0.007199040127982935,"[OrderedStatistic(items_base=frozenset({'mineral water', 'shrimp', 'nan'}), items_add=frozenset({'frozen vegetables'}), confidence=0.3068181818181818, lift=3.218801652892562)]"
102,"frozenset({'spaghetti', 'frozen vegetables', 'mineral water', 'shrimp'})",0.003332888948140248,"[OrderedStatistic(items_base=frozenset({'spaghetti', 'frozen vegetables', 'mineral water'}), items_add=frozenset({'shrimp'}), confidence=0.2777777777777778, lift=3.8873341625207294), OrderedStatistic(items_base=frozenset({'spaghetti', 'mineral water', 'shrimp'}), items_add=frozenset({'frozen vegetables'}), confidence=0.39062500000000006, lift=4.098011363636364)]"
103,"frozenset({'spaghetti', 'frozen vegetables', 'mineral water', 'tomatoes'})",0.0030662578322890282,"[OrderedStatistic(items_base=frozenset({'spaghetti', 'frozen vegetables', 'mineral water'}), items_add=frozenset({'tomatoes'}), confidence=0.2555555555555556, lift=3.7366904916612524), OrderedStatistic(items_base=frozenset({'frozen vegetables', 'mineral water', 'tomatoes'}), items_add=frozenset({'spaghetti'}), confidence=0.5227272727272727, lift=3.0022796881525826), OrderedStatistic(items_base=frozenset({'spaghetti', 'mineral water', 'tomatoes'}), items_add=frozenset({'frozen vegetables'}), confidence=0.32857142857142857, lift=3.447012987012987)]"
104,"frozenset({'spaghetti', 'frozen vegetables', 'nan', 'olive oil'})",0.005732568990801226,"[OrderedStatistic(items_base=frozenset({'spaghetti', 'frozen vegetables', 'nan'}), items_add=frozenset({'olive oil'}), confidence=0.20574162679425836, lift=3.1240241752707125)]"
105,"frozenset({'spaghetti', 'frozen vegetables', 'nan', 'shrimp'})",0.005999200106652446,"[OrderedStatistic(items_base=frozenset({'spaghetti', 'frozen vegetables', 'nan'}), items_add=frozenset({'shrimp'}), confidence=0.21531100478468898, lift=3.0131489680782684)]"
106,"frozenset({'tomatoes', 'frozen vegetables', 'nan', 'shrimp'})",0.003999466737768298,"[OrderedStatistic(items_base=frozenset({'frozen vegetables', 'nan', 'shrimp'}), items_add=frozenset({'tomatoes'}), confidence=0.24000000000000002, lift=3.5092397660818717), OrderedStatistic(items_base=frozenset({'frozen vegetables', 'nan', 'tomatoes'}), items_add=frozenset({'shrimp'}), confidence=0.2479338842975207, lift=3.4696866905143704), OrderedStatistic(items_base=frozenset({'tomatoes', 'nan', 'shrimp'}), items_add=frozenset({'frozen vegetables'}), confidence=0.35714285714285715, lift=3.7467532467532467)]"
107,"frozenset({'spaghetti', 'frozen vegetables', 'nan', 'tomatoes'})",0.006665777896280496,"[OrderedStatistic(items_base=frozenset({'spaghetti', 'frozen vegetables', 'nan'}), items_add=frozenset({'tomatoes'}), confidence=0.23923444976076558, lift=3.4980460188216425), OrderedStatistic(items_base=frozenset({'spaghetti', 'nan', 'tomatoes'}), items_add=frozenset({'frozen vegetables'}), confidence=0.3184713375796179, lift=3.341053850607991)]"
108,"frozenset({'spaghetti', 'nan', 'ground beef', 'grated cheese'})",0.005332622317024397,"[OrderedStatistic(items_base=frozenset({'spaghetti', 'nan', 'grated cheese'}), items_add=frozenset({'ground beef'}), confidence=0.3225806451612903, lift=3.283144395325426)]"
109,"frozenset({'nan', 'tomatoes', 'green tea', 'ground beef'})",0.0030662578322890282,"[OrderedStatistic(items_base=frozenset({'nan', 'green tea', 'ground beef'}), items_add=frozenset({'tomatoes'}), confidence=0.2072072072072072, lift=3.0297490472929067)]"
110,"frozenset({'milk', 'nan', 'herb & pepper', 'ground beef'})",0.0035995200639914677,"[OrderedStatistic(items_base=frozenset({'milk', 'nan', 'herb & pepper'}), items_add=frozenset({'ground beef'}), confidence=0.3913043478260869, lift=3.9825968969382335)]"
111,"frozenset({'mineral water', 'herb & pepper', 'nan', 'ground beef'})",0.006665777896280496,"[OrderedStatistic(items_base=frozenset({'mineral water', 'herb & pepper', 'nan'}), items_add=frozenset({'ground beef'}), confidence=0.39062500000000006, lift=3.975682666214383)]"
112,"frozenset({'spaghetti', 'nan', 'herb & pepper', 'ground beef'})",0.006399146780429276,"[OrderedStatistic(items_base=frozenset({'spaghetti', 'nan', 'herb & pepper'}), items_add=frozenset({'ground beef'}), confidence=0.3934426229508197, lift=4.004359721511667)]"
113,"frozenset({'milk', 'olive oil', 'nan', 'ground beef'})",0.004932675643247567,"[OrderedStatistic(items_base=frozenset({'milk', 'nan', 'ground beef'}), items_add=frozenset({'olive oil'}), confidence=0.22424242424242427, lift=3.40494417862839)]"
114,"frozenset({'milk', 'nan', 'soup', 'ground beef'})",0.003999466737768298,"[OrderedStatistic(items_base=frozenset({'nan', 'soup', 'ground beef'}), items_add=frozenset({'milk'}), confidence=0.4109589041095891, lift=3.1714019956029094)]"
115,"frozenset({'spaghetti', 'olive oil', 'mineral water', 'ground beef'})",0.0030662578322890282,"[OrderedStatistic(items_base=frozenset({'spaghetti', 'olive oil', 'mineral water'}), items_add=frozenset({'ground beef'}), confidence=0.2987012987012987, lift=3.0401064335935435)]"
116,"frozenset({'spaghetti', 'mineral water', 'tomatoes', 'ground beef'})",0.0030662578322890282,"[OrderedStatistic(items_base=frozenset({'mineral water', 'tomatoes', 'ground beef'}), items_add=frozenset({'spaghetti'}), confidence=0.5609756097560976, lift=3.221958689724723), OrderedStatistic(items_base=frozenset({'spaghetti', 'mineral water', 'tomatoes'}), items_add=frozenset({'ground beef'}), confidence=0.32857142857142857, lift=3.344117076952898)]"
117,"frozenset({'spaghetti', 'nan', 'pepper', 'ground beef'})",0.003332888948140248,"[OrderedStatistic(items_base=frozenset({'spaghetti', 'nan', 'pepper'}), items_add=frozenset({'ground beef'}), confidence=0.33783783783783783, lift=3.4384282518610876)]"
118,"frozenset({'spaghetti', 'nan', 'shrimp', 'ground beef'})",0.005999200106652446,"[OrderedStatistic(items_base=frozenset({'nan', 'shrimp', 'ground beef'}), items_add=frozenset({'spaghetti'}), confidence=0.5232558139534884, lift=3.005315360233627)]"
119,"frozenset({'spaghetti', 'nan', 'tomato sauce', 'ground beef'})",0.0030662578322890282,"[OrderedStatistic(items_base=frozenset({'tomato sauce', 'nan', 'ground beef'}), items_add=frozenset({'spaghetti'}), confidence=0.5750000000000001, lift=3.3025076569678413), OrderedStatistic(items_base=frozenset({'spaghetti', 'nan', 'tomato sauce'}), items_add=frozenset({'ground beef'}), confidence=0.4893617021276596, lift=4.980599901844742)]"
120,"frozenset({'milk', 'olive oil', 'mineral water', 'spaghetti'})",0.003332888948140248,"[OrderedStatistic(items_base=frozenset({'milk', 'spaghetti', 'mineral water'}), items_add=frozenset({'olive oil'}), confidence=0.211864406779661, lift=3.216993755575379)]"
121,"frozenset({'milk', 'spaghetti', 'mineral water', 'tomatoes'})",0.003332888948140248,"[OrderedStatistic(items_base=frozenset({'milk', 'spaghetti', 'mineral water'}), items_add=frozenset({'tomatoes'}), confidence=0.211864406779661, lift=3.0978458387022165)]"
122,"frozenset({'milk', 'olive oil', 'nan', 'shrimp'})",0.003199573390214638,"[OrderedStatistic(items_base=frozenset({'olive oil', 'nan', 'shrimp'}), items_add=frozenset({'milk'}), confidence=0.39999999999999997, lift=3.0868312757201646)]"
123,"frozenset({'milk', 'olive oil', 'nan', 'soup'})",0.0035995200639914677,"[OrderedStatistic(items_base=frozenset({'milk', 'olive oil', 'nan'}), items_add=frozenset({'soup'}), confidence=0.2109375, lift=4.174781497361478), OrderedStatistic(items_base=frozenset({'milk', 'nan', 'soup'}), items_add=frozenset({'olive oil'}), confidence=0.23684210526315788, lift=3.5962603878116344), OrderedStatistic(items_base=frozenset({'olive oil', 'nan', 'soup'}), items_add=frozenset({'milk'}), confidence=0.4029850746268656, lift=3.1098673300165833)]"
124,"frozenset({'milk', 'olive oil', 'nan', 'spaghetti'})",0.007199040127982935,"[OrderedStatistic(items_base=frozenset({'milk', 'spaghetti', 'nan'}), items_add=frozenset({'olive oil'}), confidence=0.20300751879699247, lift=3.0825089038385434)]"
125,"frozenset({'milk', 'nan', 'tomatoes', 'soup'})",0.0030662578322890282,"[OrderedStatistic(items_base=frozenset({'milk', 'nan', 'tomatoes'}), items_add=frozenset({'soup'}), confidence=0.21904761904761905, lift=4.335293378565146), OrderedStatistic(items_base=frozenset({'nan', 'tomatoes', 'soup'}), items_add=frozenset({'milk'}), confidence=0.44230769230769235, lift=3.4133230452674903)]"
126,"frozenset({'milk', 'spaghetti', 'nan', 'whole wheat pasta'})",0.003999466737768298,"[OrderedStatistic(items_base=frozenset({'spaghetti', 'nan', 'whole wheat pasta'}), items_add=frozenset({'milk'}), confidence=0.4545454545454546, lift=3.5077628133183696)]"
127,"frozenset({'olive oil', 'mineral water', 'soup', 'nan'})",0.005199306759098787,"[OrderedStatistic(items_base=frozenset({'mineral water', 'soup', 'nan'}), items_add=frozenset({'olive oil'}), confidence=0.22543352601156072, lift=3.4230301186492245)]"
128,"frozenset({'olive oil', 'mineral water', 'whole wheat pasta', 'nan'})",0.0038661511798426876,"[OrderedStatistic(items_base=frozenset({'mineral water', 'whole wheat pasta', 'nan'}), items_add=frozenset({'olive oil'}), confidence=0.4027777777777778, lift=6.115862573099416)]"
129,"frozenset({'spaghetti', 'olive oil', 'nan', 'pancakes'})",0.005065991201173177,"[OrderedStatistic(items_base=frozenset({'spaghetti', 'nan', 'pancakes'}), items_add=frozenset({'olive oil'}), confidence=0.20105820105820105, lift=3.0529100529100526)]"
130,"frozenset({'spaghetti', 'olive oil', 'nan', 'tomatoes'})",0.004399413411545127,"[OrderedStatistic(items_base=frozenset({'olive oil', 'nan', 'tomatoes'}), items_add=frozenset({'spaghetti'}), confidence=0.6111111111111112, lift=3.5099115194827295), OrderedStatistic(items_base=frozenset({'spaghetti', 'nan', 'tomatoes'}), items_add=frozenset({'olive oil'}), confidence=0.21019108280254778, lift=3.19158565202816)]"
131,"frozenset({'spaghetti', 'whole wheat rice', 'nan', 'tomatoes'})",0.0030662578322890282,"[OrderedStatistic(items_base=frozenset({'spaghetti', 'whole wheat rice', 'nan'}), items_add=frozenset({'tomatoes'}), confidence=0.2169811320754717, lift=3.1726617382029496)]"
132,"frozenset({'chocolate', 'ground beef', 'nan', 'mineral water', 'eggs'})",0.003999466737768298,"[OrderedStatistic(items_base=frozenset({'eggs', 'mineral water', 'chocolate', 'nan'}), items_add=frozenset({'ground beef'}), confidence=0.29702970297029707, lift=3.023093354111531)]"
133,"frozenset({'chocolate', 'ground beef', 'frozen vegetables', 'nan', 'mineral water'})",0.003332888948140248,"[OrderedStatistic(items_base=frozenset({'frozen vegetables', 'mineral water', 'chocolate', 'nan'}), items_add=frozenset({'ground beef'}), confidence=0.34246575342465757, lift=3.4855300087358976), OrderedStatistic(items_base=frozenset({'mineral water', 'chocolate', 'nan', 'ground beef'}), items_add=frozenset({'frozen vegetables'}), confidence=0.30487804878048785, lift=3.1984478935698455)]"
134,"frozenset({'chocolate', 'ground beef', 'frozen vegetables', 'spaghetti', 'nan'})",0.0030662578322890282,"[OrderedStatistic(items_base=frozenset({'frozen vegetables', 'nan', 'chocolate', 'ground beef'}), items_add=frozenset({'spaghetti'}), confidence=0.5348837209302326, lift=3.0721001460165964), OrderedStatistic(items_base=frozenset({'spaghetti', 'frozen vegetables', 'nan', 'chocolate'}), items_add=frozenset({'ground beef'}), confidence=0.3898305084745763, lift=3.967596531978015), OrderedStatistic(items_base=frozenset({'spaghetti', 'nan', 'chocolate', 'ground beef'}), items_add=frozenset({'frozen vegetables'}), confidence=0.33333333333333337, lift=3.4969696969696975)]"
135,"frozenset({'chocolate', 'milk', 'frozen vegetables', 'nan', 'mineral water'})",0.003999466737768298,"[OrderedStatistic(items_base=frozenset({'frozen vegetables', 'mineral water', 'chocolate', 'nan'}), items_add=frozenset({'milk'}), confidence=0.4109589041095891, lift=3.1714019956029094)]"
136,"frozenset({'chocolate', 'milk', 'frozen vegetables', 'nan', 'spaghetti'})",0.0034662045060658577,"[OrderedStatistic(items_base=frozenset({'spaghetti', 'frozen vegetables', 'nan', 'chocolate'}), items_add=frozenset({'milk'}), confidence=0.44067796610169485, lift=3.4007463207086555), OrderedStatistic(items_base=frozenset({'milk', 'spaghetti', 'nan', 'chocolate'}), items_add=frozenset({'frozen vegetables'}), confidence=0.3170731707317073, lift=3.3263858093126384)]"
137,"frozenset({'chocolate', 'frozen vegetables', 'nan', 'mineral water', 'shrimp'})",0.003199573390214638,"[OrderedStatistic(items_base=frozenset({'frozen vegetables', 'mineral water', 'chocolate', 'nan'}), items_add=frozenset({'shrimp'}), confidence=0.32876712328767127, lift=4.600899611531385), OrderedStatistic(items_base=frozenset({'mineral water', 'shrimp', 'chocolate', 'nan'}), items_add=frozenset({'frozen vegetables'}), confidence=0.4210526315789474, lift=4.417224880382776)]"
138,"frozenset({'chocolate', 'spaghetti', 'nan', 'olive oil', 'mineral water'})",0.0038661511798426876,"[OrderedStatistic(items_base=frozenset({'spaghetti', 'mineral water', 'chocolate', 'nan'}), items_add=frozenset({'olive oil'}), confidence=0.2436974789915966, lift=3.700353825740822)]"
139,"frozenset({'chocolate', 'spaghetti', 'nan', 'mineral water', 'shrimp'})",0.0034662045060658577,"[OrderedStatistic(items_base=frozenset({'spaghetti', 'mineral water', 'chocolate', 'nan'}), items_add=frozenset({'shrimp'}), confidence=0.21848739495798317, lift=3.0576006522011783)]"
140,"frozenset({'milk', 'frozen vegetables', 'nan', 'mineral water', 'eggs'})",0.0037328356219170776,"[OrderedStatistic(items_base=frozenset({'eggs', 'frozen vegetables', 'mineral water', 'nan'}), items_add=frozenset({'milk'}), confidence=0.411764705882353, lift=3.177620430888405)]"
141,"frozenset({'frozen smoothie', 'milk', 'spaghetti', 'nan', 'mineral water'})",0.003199573390214638,"[OrderedStatistic(items_base=frozenset({'spaghetti', 'mineral water', 'frozen smoothie', 'nan'}), items_add=frozenset({'milk'}), confidence=0.4705882352941177, lift=3.631566206729606), OrderedStatistic(items_base=frozenset({'milk', 'spaghetti', 'mineral water', 'nan'}), items_add=frozenset({'frozen smoothie'}), confidence=0.2033898305084746, lift=3.211846565566459)]"
142,"frozenset({'ground beef', 'milk', 'frozen vegetables', 'nan', 'mineral water'})",0.0037328356219170776,"[OrderedStatistic(items_base=frozenset({'frozen vegetables', 'mineral water', 'nan', 'ground beef'}), items_add=frozenset({'milk'}), confidence=0.40579710144927533, lift=3.1315679608755294), OrderedStatistic(items_base=frozenset({'milk', 'frozen vegetables', 'mineral water', 'nan'}), items_add=frozenset({'ground beef'}), confidence=0.3373493975903614, lift=3.4334570302921317), OrderedStatistic(items_base=frozenset({'milk', 'mineral water', 'nan', 'ground beef'}), items_add=frozenset({'frozen vegetables'}), confidence=0.3373493975903614, lift=3.539101861993428)]"
143,"frozenset({'ground beef', 'milk', 'frozen vegetables', 'nan', 'spaghetti'})",0.0030662578322890282,"[OrderedStatistic(items_base=frozenset({'milk', 'frozen vegetables', 'nan', 'ground beef'}), items_add=frozenset({'spaghetti'}), confidence=0.5348837209302326, lift=3.0721001460165964), OrderedStatistic(items_base=frozenset({'milk', 'frozen vegetables', 'nan', 'spaghetti'}), items_add=frozenset({'ground beef'}), confidence=0.3709677419354839, lift=3.7756160546242397), OrderedStatistic(items_base=frozenset({'milk', 'spaghetti', 'nan', 'ground beef'}), items_add=frozenset({'frozen vegetables'}), confidence=0.3150684931506849, lift=3.305354919053549)]"
144,"frozenset({'ground beef', 'frozen vegetables', 'spaghetti', 'nan', 'mineral water'})",0.004399413411545127,"[OrderedStatistic(items_base=frozenset({'spaghetti', 'frozen vegetables', 'mineral water', 'nan'}), items_add=frozenset({'ground beef'}), confidence=0.3666666666666667, lift=3.7318407960199007)]"
145,"frozenset({'milk', 'frozen vegetables', 'nan', 'mineral water', 'olive oil'})",0.003332888948140248,"[OrderedStatistic(items_base=frozenset({'milk', 'frozen vegetables', 'mineral water', 'nan'}), items_add=frozenset({'olive oil'}), confidence=0.30120481927710846, lift=4.573557387444516), OrderedStatistic(items_base=frozenset({'frozen vegetables', 'mineral water', 'olive oil', 'nan'}), items_add=frozenset({'milk'}), confidence=0.5102040816326531, lift=3.937284790459394), OrderedStatistic(items_base=frozenset({'milk', 'olive oil', 'mineral water', 'nan'}), items_add=frozenset({'frozen vegetables'}), confidence=0.39062500000000006, lift=4.098011363636364)]"
146,"frozenset({'milk', 'frozen vegetables', 'nan', 'soup', 'mineral water'})",0.0030662578322890282,"[OrderedStatistic(items_base=frozenset({'milk', 'frozen vegetables', 'mineral water', 'nan'}), items_add=frozenset({'soup'}), confidence=0.27710843373493976, lift=5.484407286136631), OrderedStatistic(items_base=frozenset({'milk', 'frozen vegetables', 'nan', 'soup'}), items_add=frozenset({'mineral water'}), confidence=0.7666666666666666, lift=3.21631245339299), OrderedStatistic(items_base=frozenset({'frozen vegetables', 'mineral water', 'soup', 'nan'}), items_add=frozenset({'milk'}), confidence=0.6052631578947368, lift=4.670863114576565), OrderedStatistic(items_base=frozenset({'milk', 'mineral water', 'soup', 'nan'}), items_add=frozenset({'frozen vegetables'}), confidence=0.35937500000000006, lift=3.7701704545454553)]"
147,"frozenset({'milk', 'frozen vegetables', 'spaghetti', 'nan', 'mineral water'})",0.004532728969470737,"[OrderedStatistic(items_base=frozenset({'milk', 'spaghetti', 'mineral water', 'nan'}), items_add=frozenset({'frozen vegetables'}), confidence=0.28813559322033894, lift=3.0228043143297376)]"
148,"frozenset({'frozen vegetables', 'spaghetti', 'nan', 'mineral water', 'shrimp'})",0.003332888948140248,"[OrderedStatistic(items_base=frozenset({'spaghetti', 'frozen vegetables', 'mineral water', 'nan'}), items_add=frozenset({'shrimp'}), confidence=0.2777777777777778, lift=3.8873341625207294), OrderedStatistic(items_base=frozenset({'spaghetti', 'mineral water', 'shrimp', 'nan'}), items_add=frozenset({'frozen vegetables'}), confidence=0.39062500000000006, lift=4.098011363636364)]"
149,"frozenset({'tomatoes', 'frozen vegetables', 'spaghetti', 'nan', 'mineral water'})",0.0030662578322890282,"[OrderedStatistic(items_base=frozenset({'spaghetti', 'frozen vegetables', 'mineral water', 'nan'}), items_add=frozenset({'tomatoes'}), confidence=0.2555555555555556, lift=3.7366904916612524), OrderedStatistic(items_base=frozenset({'frozen vegetables', 'mineral water', 'tomatoes', 'nan'}), items_add=frozenset({'spaghetti'}), confidence=0.5227272727272727, lift=3.0022796881525826), OrderedStatistic(items_base=frozenset({'spaghetti', 'mineral water', 'tomatoes', 'nan'}), items_add=frozenset({'frozen vegetables'}), confidence=0.32857142857142857, lift=3.447012987012987)]"
150,"frozenset({'ground beef', 'spaghetti', 'nan', 'olive oil', 'mineral water'})",0.0030662578322890282,"[OrderedStatistic(items_base=frozenset({'spaghetti', 'olive oil', 'mineral water', 'nan'}), items_add=frozenset({'ground beef'}), confidence=0.2987012987012987, lift=3.0401064335935435)]"
151,"frozenset({'tomatoes', 'ground beef', 'spaghetti', 'nan', 'mineral water'})",0.0030662578322890282,"[OrderedStatistic(items_base=frozenset({'mineral water', 'tomatoes', 'nan', 'ground beef'}), items_add=frozenset({'spaghetti'}), confidence=0.5609756097560976, lift=3.221958689724723), OrderedStatistic(items_base=frozenset({'spaghetti', 'mineral water', 'tomatoes', 'nan'}), items_add=frozenset({'ground beef'}), confidence=0.32857142857142857, lift=3.344117076952898)]"
152,"frozenset({'milk', 'spaghetti', 'nan', 'olive oil', 'mineral water'})",0.003332888948140248,"[OrderedStatistic(items_base=frozenset({'milk', 'spaghetti', 'mineral water', 'nan'}), items_add=frozenset({'olive oil'}), confidence=0.211864406779661, lift=3.216993755575379)]"
153,"frozenset({'tomatoes', 'milk', 'spaghetti', 'nan', 'mineral water'})",0.003332888948140248,"[OrderedStatistic(items_base=frozenset({'milk', 'spaghetti', 'mineral water', 'nan'}), items_add=frozenset({'tomatoes'}), confidence=0.211864406779661, lift=3.0978458387022165)]"
